Month,Day,Year,Value
November,30,2020,8.226
October,31,2020,7.668
September,30,2020,6.068
August,31,2020,7.195
July,31,2020,8.225
June,30,2020,8.154
May,31,2020,8.053
April,30,2020,8.940
March,31,2020,10.08
February,29,2020,11.43
January,31,2020,11.89
December,31,2019,11.58
November,30,2019,11.55
October,31,2019,11.34
September,30,2019,13.47
August,31,2019,13.38
July,31,2019,13.72
June,30,2019,14.30
May,31,2019,14.76
April,30,2019,15.54
March,31,2019,15.86
February,28,2019,16.18
January,31,2019,15.54
December,31,2018,15.09
November,30,2018,15.02
October,31,2018,15.29
September,30,2018,15.98
August,31,2018,16.31
July,31,2018,16.71
June,30,2018,16.90
May,31,2018,15.46
April,30,2018,14.28
March,31,2018,14.05
February,28,2018,14.16
January,31,2018,13.05
December,31,2017,11.71
November,30,2017,11.50
October,31,2017,11.35
September,30,2017,11.55
August,31,2017,11.76
July,31,2017,10.90
June,30,2017,10.66
May,31,2017,10.22
April,30,2017,9.884
March,31,2017,10.60
February,28,2017,10.30
January,31,2017,10.28
December,31,2016,10.03
November,30,2016,10.19
October,31,2016,10.24
